Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1903	6	23.9	11.4	808.7287	56	295	0
1903	7	25.7	15.9	698.256	71	295	0
1903	8	21.5	11.4	731.1858387	43	295	0
1903	9	20	8.6	677.7667	21	295	0
1903	10	15.1	2.6	539.9254355	32	295	0
1903	11	8.9	0.4	349.3867	52	295	0
1903	12	-0.3	-7.2	377.05915	87	295	0
1904	1	-0.2	-8.2	458.3386935	141	295	0
1904	2	-0.8	-11	613.6085172	38	295	0
1904	3	5.2	-3	674.3276129	61	295	0
1904	4	10.6	0.9	766.0939	62	295	0
1904	5	20.7	7.5	848.8796613	36	295	0
1904	6	23.9	11.4	808.7287	56	295	0
1904	7	25.7	15.9	698.256	71	295	0
1904	8	21.5	11.4	731.1858387	43	295	0
1904	9	20	8.6	677.7667	21	295	0
1904	10	15.1	2.6	539.9254355	32	295	0
1904	11	8.9	0.4	349.3867	52	295	0
1904	12	-0.3	-7.2	377.05915	87	295	0
1905	1	-0.2	-8.2	458.3386935	141	296	0
1905	2	-0.8	-11	613.6085172	38	296	0
1905	3	5.2	-3	674.3276129	61	296	0
1905	4	10.6	0.9	766.0939	62	296	0
1905	5	20.7	7.5	848.8796613	36	296	0
1905	6	23.9	11.4	808.7287	56	296	0
1905	7	25.7	15.9	698.256	71	296	0
1905	8	21.5	11.4	731.1858387	43	296	0
1905	9	20	8.6	677.7667	21	296	0
1905	10	15.1	2.6	539.9254355	32	296	0
1905	11	8.9	0.4	349.3867	52	296	0
1905	12	-0.3	-7.2	377.05915	87	296	0
1906	1	-0.2	-8.2	458.3386935	141	296	0
1906	2	-0.8	-11	613.6085172	38	296	0
