Year,CalendarYear,EcoregionName,TAP,MAT,BeginGrow,EndGrow,
91, -1, eco2, 778.26, 13.21, 77, 325, 
92, -1, eco1, 778.26, 13.21, 77, 325, 
92, -1, eco2, 778.26, 13.21, 77, 325, 
93, -1, eco1, 778.26, 13.21, 77, 325, 
93, -1, eco2, 778.26, 13.21, 77, 325, 
94, -1, eco1, 778.26, 13.21, 77, 325, 
94, -1, eco2, 778.26, 13.21, 77, 325, 
95, -1, eco1, 778.26, 13.21, 77, 325, 
95, -1, eco2, 778.26, 13.21, 77, 325, 
96, -1, eco1, 778.26, 13.21, 77, 325, 
96, -1, eco2, 778.26, 13.21, 77, 325, 
97, -1, eco1, 778.26, 13.21, 77, 325, 
97, -1, eco2, 778.26, 13.21, 77, 325, 
98, -1, eco1, 778.26, 13.21, 77, 325, 
98, -1, eco2, 778.26, 13.21, 77, 325, 
99, -1, eco1, 778.26, 13.21, 77, 325, 
99, -1, eco2, 778.26, 13.21, 77, 325, 
100, -1, eco1, 778.26, 13.21, 77, 325, 
100, -1, eco2, 778.26, 13.21, 77, 325, 
